DATE OCC,TIME OCC,AREA NAME,Total Score,LAT,LON
2020-01-07,18.0,Topanga,45.0,34.2061,-118.5694
2020-01-07,18.0,Wilshire,90.0,34.0761,-118.3563
2020-01-07,19.0,Southwest,70.0,34.0151,-118.3472
2020-01-07,20.0,Southwest,70.0,34.0084,-118.3276
2020-01-07,21.0,Topanga,70.0,34.2209,-118.6027
2020-01-07,22.0,Hollywood,70.0,34.0889,-118.3244
2020-01-07,22.0,Topanga,70.0,34.1908,-118.6541
2020-01-07,23.0,Mission,45.0,34.2389,-118.4378
2020-01-07,23.0,Southwest,70.0,34.0326,-118.3224
2020-01-08,0.0,Southwest,25.0,34.033,-118.3583
2020-01-08,0.0,Wilshire,70.0,34.0516,-118.3219
2020-01-08,1.0,Mission,70.0,34.3088,-118.4532
2020-01-08,1.0,Southwest,70.0,34.0165,-118.3002
2020-01-08,1.0,Topanga,70.0,34.1878,-118.6161
2020-01-08,2.0,Hollywood,70.0,34.0993,-118.3159
2020-01-08,2.0,Mission,90.0,34.228,-118.4517
2020-01-08,4.0,Southwest,70.0,34.0313,-118.3547
2020-01-08,4.0,Wilshire,70.0,34.0524,-118.3711
2020-01-08,7.0,Hollywood,70.0,34.0929,-118.3048
2020-01-08,9.0,Hollywood,70.0,34.1271,-118.3196
2020-01-08,9.0,Mission,70.0,34.2336,-118.4517
2020-01-08,9.0,Topanga,25.0,34.2091,-118.6157
2020-01-08,10.0,Topanga,45.0,34.1599,-118.6238
2020-01-08,10.0,Wilshire,70.0,34.0558,-118.3649
2020-01-08,11.0,Southwest,140.0,34.0336,-118.3441
2020-01-08,12.0,Mission,25.0,34.2301,-118.4633
2020-01-08,12.0,Southwest,70.0,34.0146,-118.2872
2020-01-08,14.0,Hollywood,25.0,34.1036,-118.3137
2020-01-08,14.0,Southwest,45.0,34.023,-118.351
2020-01-08,14.0,Topanga,70.0,34.1942,-118.6234
2020-01-08,15.0,Hollywood,70.0,34.0981,-118.3114
2020-01-08,17.0,Hollywood,25.0,34.0993,-118.3092
2020-01-08,18.0,Hollywood,70.0,34.1016,-118.3433
2020-01-08,18.0,Topanga,70.0,34.2202,-118.5754
2020-01-08,19.0,Mission,70.0,34.2318,-118.4553
2020-01-08,19.0,Southwest,45.0,34.0082,-118.3263
2020-01-08,19.0,Wilshire,70.0,34.0638,-118.3683
2020-01-08,20.0,Wilshire,45.0,34.0557,-118.3254
2020-01-08,21.0,Mission,140.0,34.2184,-118.4698
2020-01-08,21.0,Topanga,25.0,34.1679,-118.5804
2020-01-08,22.0,Southwest,140.0,34.011,-118.288
2020-01-08,22.0,Wilshire,45.0,34.0604,-118.34
2020-01-08,23.0,Topanga,45.0,34.201,-118.6003
2020-01-08,23.0,Wilshire,70.0,34.0404,-118.3475
2020-01-09,0.0,Southwest,25.0,34.0001,-118.3192
2020-01-09,0.0,Wilshire,25.0,34.0498,-118.3706
2020-01-09,1.0,Southwest,70.0,34.0327,-118.3101
2020-01-09,1.0,Topanga,70.0,34.1878,-118.6161
2020-01-09,2.0,Hollywood,45.0,34.0876,-118.3091
2020-01-09,4.0,Mission,45.0,34.31,-118.4808
2020-01-09,7.0,Hollywood,45.0,34.1042,-118.305
2020-01-09,7.0,Southwest,90.0,34.0326,-118.3308
2020-01-09,9.0,Hollywood,45.0,34.0907,-118.3386
2020-01-09,9.0,Mission,45.0,34.2473,-118.4697
2020-01-09,9.0,Southwest,90.0,34.029,-118.284
2020-01-09,9.0,Wilshire,45.0,34.0782,-118.3695
2020-01-09,11.0,Mission,70.0,34.216,-118.4678
2020-01-09,12.0,Hollywood,25.0,34.0998,-118.3288
2020-01-09,12.0,Mission,140.0,34.2354,-118.4481
2020-01-09,12.0,Mission,25.0,34.2735,-118.4478
2020-01-09,12.0,Southwest,140.0,34.0037,-118.2915
2020-01-09,12.0,Southwest,45.0,34.022,-118.289
2020-01-09,13.0,Hollywood,70.0,34.098,-118.3445
2020-01-09,14.0,Hollywood,90.0,34.1007,-118.3494
2020-01-09,14.0,Hollywood,70.0,34.0908,-118.319
2020-01-09,15.0,Topanga,25.0,34.2128,-118.5913
2020-01-09,16.0,Mission,70.0,34.2232,-118.4488
2020-01-09,16.0,Mission,45.0,34.2464,-118.4675
2020-01-09,16.0,Topanga,70.0,34.2197,-118.606
2020-01-09,17.0,Southwest,70.0,34.0328,-118.2915
2020-01-09,17.0,Wilshire,70.0,34.0542,-118.3702
2020-01-09,18.0,Wilshire,70.0,34.0489,-118.3407
2020-01-09,19.0,Hollywood,45.0,34.098,-118.3252
2020-01-09,19.0,Hollywood,70.0,34.0962,-118.3483
2020-01-09,19.0,Southwest,70.0,34.0178,-118.3354
2020-01-09,19.0,Topanga,70.0,34.2155,-118.6016
2020-01-09,20.0,Hollywood,70.0,34.103,-118.3225
2020-01-09,20.0,Topanga,45.0,34.2047,-118.5688
2020-01-09,20.0,Wilshire,70.0,34.0475,-118.325
2020-01-09,21.0,Hollywood,90.0,34.098,-118.3223
2020-01-09,22.0,Southwest,45.0,34.0053,-118.3013
2020-01-09,23.0,Wilshire,90.0,34.0782,-118.3695
2020-01-10,0.0,Southwest,70.0,34.0046,-118.2872
2020-01-10,0.0,Southwest,70.0,34.0149,-118.3536
2020-01-10,0.0,Topanga,70.0,34.2126,-118.6262
2020-01-10,0.0,Topanga,70.0,34.2011,-118.5928
2020-01-10,1.0,Southwest,45.0,34.0199,-118.3249
2020-01-10,2.0,Mission,45.0,34.2319,-118.4676
2020-01-10,3.0,Hollywood,70.0,34.098,-118.3223
2020-01-10,4.0,Southwest,45.0,34.0037,-118.297
2020-01-10,5.0,Mission,45.0,34.3199,-118.4293
2020-01-10,5.0,Southwest,70.0,34.0,-118.3247
2020-01-10,6.0,Hollywood,90.0,34.1032,-118.3374
2020-01-10,6.0,Mission,45.0,34.3045,-118.4355
2020-01-10,6.0,Mission,70.0,34.2964,-118.4497
2020-01-10,6.0,Southwest,70.0,34.0326,-118.3374
2020-01-10,7.0,Topanga,45.0,34.2112,-118.5858
2020-01-10,8.0,Hollywood,25.0,34.0908,-118.3012
2020-01-10,9.0,Hollywood,70.0,34.1079,-118.3337
2020-01-10,12.0,Wilshire,25.0,34.0692,-118.3472
2020-01-10,14.0,Mission,70.0,34.3157,-118.4537
2020-01-10,14.0,Southwest,50.0,34.0173,-118.3016
2020-01-10,15.0,Mission,45.0,34.3049,-118.4756
2020-01-10,15.0,Mission,140.0,34.3183,-118.4443
2020-01-10,16.0,Wilshire,70.0,34.0483,-118.3409
2020-01-10,17.0,Hollywood,70.0,34.1005,-118.3205
2020-01-10,17.0,Mission,70.0,34.3109,-118.4396
2020-01-10,17.0,Wilshire,140.0,34.0782,-118.3711
2020-01-10,18.0,Topanga,45.0,34.1728,-118.6211
2020-01-10,19.0,Hollywood,70.0,34.0865,-118.3169
2020-01-10,19.0,Mission,70.0,34.2337,-118.4553
2020-01-10,19.0,Topanga,45.0,34.2182,-118.5798
